pipeline,resource,organisation,value,entity
parish,,government-organisation:D303,E04000474,130000416
parish,,government-organisation:D303,E04000475,130000417
parish,,government-organisation:D303,E04000476,130000418
parish,,government-organisation:D303,E04000477,130000419
parish,,government-organisation:D303,E04000478,130000420
parish,,government-organisation:D303,E04000479,130000421
parish,,government-organisation:D303,E04000480,130000422
parish,,government-organisation:D303,E04000481,130000423
parish,,government-organisation:D303,E04000482,130000424
parish,,government-organisation:D303,E04000483,130000425
parish,,government-organisation:D303,E04000484,130000426
parish,,government-organisation:D303,E04000485,130000427
parish,,government-organisation:D303,E04000486,130000428
parish,,government-organisation:D303,E04000487,130000429
parish,,government-organisation:D303,E04000488,130000430
parish,,government-organisation:D303,E04000489,130000431
parish,,government-organisation:D303,E04000490,130000432
parish,,government-organisation:D303,E04000491,130000433
parish,,government-organisation:D303,E04000492,130000434
parish,,government-organisation:D303,E04000493,130000435
parish,,government-organisation:D303,E04000494,130000436
parish,,government-organisation:D303,E04000495,130000437
parish,,government-organisation:D303,E04000496,130000438
parish,,government-organisation:D303,E04000497,130000439
parish,,government-organisation:D303,E04000498,130000440
parish,,government-organisation:D303,E04000499,130000441
parish,,government-organisation:D303,E04000500,130000442
parish,,government-organisation:D303,E04000501,130000443
parish,,government-organisation:D303,E04000502,130000444
parish,,government-organisation:D303,E04000503,130000445
parish,,government-organisation:D303,E04000504,130000446
parish,,government-organisation:D303,E04000505,130000447
parish,,government-organisation:D303,E04000506,130000448
parish,,government-organisation:D303,E04000507,130000449
parish,,government-organisation:D303,E04000508,130000450
parish,,government-organisation:D303,E04000509,130000451
parish,,government-organisation:D303,E04000510,130000452
parish,,government-organisation:D303,E04000511,130000453
parish,,government-organisation:D303,E04000512,130000454
parish,,government-organisation:D303,E04000513,130000455
parish,,government-organisation:D303,E04000514,130000456
parish,,government-organisation:D303,E04000515,130000457
parish,,government-organisation:D303,E04000516,130000458
parish,,government-organisation:D303,E04000517,130000459
parish,,government-organisation:D303,E04000518,130000460
parish,,government-organisation:D303,E04000519,130000461
parish,,government-organisation:D303,E04000520,130000462
parish,,government-organisation:D303,E04000521,130000463
parish,,government-organisation:D303,E04000522,130000464
parish,,government-organisation:D303,E04000523,130000465
parish,,government-organisation:D303,E04000524,130000466
parish,,government-organisation:D303,E04000525,130000467
parish,,government-organisation:D303,E04000526,130000468
parish,,government-organisation:D303,E04000527,130000469
parish,,government-organisation:D303,E04000528,130000470
parish,,government-organisation:D303,E04000529,130000471
parish,,government-organisation:D303,E04000530,130000472
parish,,government-organisation:D303,E04000531,130000473
parish,,government-organisation:D303,E04000532,130000474
parish,,government-organisation:D303,E04000533,130000475
parish,,government-organisation:D303,E04000534,130000476
parish,,government-organisation:D303,E04000535,130000477
parish,,government-organisation:D303,E04000536,130000478
parish,,government-organisation:D303,E04000537,130000479
parish,,government-organisation:D303,E04000538,130000480
parish,,government-organisation:D303,E04000539,130000481
parish,,government-organisation:D303,E04000540,130000482
parish,,government-organisation:D303,E04000541,130000483
parish,,government-organisation:D303,E04000542,130000484
parish,,government-organisation:D303,E04000543,130000485
parish,,government-organisation:D303,E04000544,130000486
parish,,government-organisation:D303,E04000545,130000487
parish,,government-organisation:D303,E04000546,130000488
parish,,government-organisation:D303,E04000547,130000489
parish,,government-organisation:D303,E04000548,130000490
parish,,government-organisation:D303,E04000549,130000491
parish,,government-organisation:D303,E04000550,130000492
parish,,government-organisation:D303,E04000551,130000493
parish,,government-organisation:D303,E04000552,130000494
parish,,government-organisation:D303,E04000553,130000495
parish,,government-organisation:D303,E04000554,130000496
parish,,government-organisation:D303,E04000555,130000497
parish,,government-organisation:D303,E04000556,130000498
parish,,government-organisation:D303,E04000557,130000499
parish,,government-organisation:D303,E04000558,130000500
parish,,government-organisation:D303,E04000559,130000501
parish,,government-organisation:D303,E04000560,130000502
parish,,government-organisation:D303,E04000561,130000503
parish,,government-organisation:D303,E04000563,130000504
parish,,government-organisation:D303,E04000564,130000505
parish,,government-organisation:D303,E04000565,130000506
parish,,government-organisation:D303,E04000566,130000507
parish,,government-organisation:D303,E04000567,130000508
parish,,government-organisation:D303,E04000568,130000509
parish,,government-organisation:D303,E04000569,130000510
parish,,government-organisation:D303,E04000571,130000511
parish,,government-organisation:D303,E04000572,130000512
parish,,government-organisation:D303,E04000573,130000513
parish,,government-organisation:D303,E04000574,130000514
parish,,government-organisation:D303,E04000575,130000515
parish,,government-organisation:D303,E04000576,130000516
parish,,government-organisation:D303,E04000577,130000517
parish,,government-organisation:D303,E04000578,130000518
parish,,government-organisation:D303,E04000579,130000519
parish,,government-organisation:D303,E04000580,130000520
parish,,government-organisation:D303,E04000581,130000521
parish,,government-organisation:D303,E04000582,130000522
parish,,government-organisation:D303,E04000583,130000523
parish,,government-organisation:D303,E04000584,130000524
parish,,government-organisation:D303,E04000585,130000525
